                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3737,                 3.7574,                 3.7797,                0.40739,                0.07519,                0.03274,                0.00933,                 2.8047,                 3.7127,                 3.3745,               0.070051,              0.0033277,              0.0033277
                      2,                 2.5238,                 3.0327,                 2.9679,                0.16423,                0.21614,                0.12057,                0.04622,                 2.1339,                 3.7967,                 2.7191,               0.039985,              0.0065951,              0.0065951
                      3,                 2.0735,                  2.615,                   2.53,                 0.2985,                0.28068,                0.22264,                0.09208,                 1.9267,                 2.4167,                 2.4381,               0.009853,              0.0097965,              0.0097965
                      4,                 1.9085,                 2.4248,                 2.3433,                0.33643,                0.37104,                 0.2951,                0.13428,                 1.7281,                 2.4256,                 2.2678,               0.009703,               0.009703,               0.009703
                      5,                 1.7948,                 2.2776,                  2.221,                0.42686,                0.38489,                  0.352,                0.16403,                 1.7065,                 2.0427,                 2.1923,               0.009703,               0.009703,               0.009703
                      6,                 1.7267,                 2.1675,                 2.1479,                0.44961,                0.42887,                0.39796,                0.19742,                 1.6078,                 1.9167,                 2.1273,               0.009604,               0.009604,               0.009604
                      7,                 1.6946,                 2.0807,                 2.1017,                0.49227,                0.45361,                 0.4442,                0.23208,                 1.5568,                 1.8109,                 2.0486,               0.009505,               0.009505,               0.009505
                      8,                 1.6651,                   2.02,                  2.063,                 0.5148,                0.49572,                0.48683,                 0.2601,                  1.498,                 1.7018,                 1.9742,               0.009406,               0.009406,               0.009406
                      9,                 1.6391,                 1.9456,                  2.018,                0.53804,                0.49073,                0.50609,                0.28145,                 1.4808,                  1.678,                 1.9352,               0.009307,               0.009307,               0.009307
                     10,                 1.6101,                  1.908,                 1.9909,                0.56757,                0.50423,                0.52747,                0.29435,                 1.4381,                 1.6278,                 1.9116,               0.009208,               0.009208,               0.009208
                     11,                  1.584,                 1.8438,                  1.963,                0.59292,                  0.533,                 0.5466,                0.30692,                 1.4389,                 1.5575,                 1.8893,               0.009109,               0.009109,               0.009109
                     12,                 1.5706,                   1.82,                 1.9472,                0.60444,                0.53645,                0.57843,                0.32476,                 1.4414,                 1.4956,                 1.8911,                0.00901,                0.00901,                0.00901
                     13,                 1.5598,                 1.7815,                 1.9307,                0.61612,                0.52951,                0.56817,                0.32099,                 1.4628,                 1.4929,                 1.9081,               0.008911,               0.008911,               0.008911
                     14,                 1.5437,                 1.7587,                 1.9121,                0.61064,                 0.5444,                 0.5747,                 0.3313,                 1.3993,                 1.4516,                 1.8442,               0.008812,               0.008812,               0.008812
                     15,                 1.5279,                 1.7263,                 1.8914,                0.63871,                0.55047,                0.59826,                0.34493,                 1.3818,                 1.4448,                 1.8281,               0.008713,               0.008713,               0.008713
                     16,                  1.518,                 1.6947,                 1.8799,                 0.6421,                0.57941,                0.63025,                 0.3667,                 1.3809,                 1.3266,                 1.8152,               0.008614,               0.008614,               0.008614
                     17,                 1.5087,                 1.6787,                  1.874,                 0.6439,                0.57716,                0.62701,                 0.3693,                 1.3515,                 1.3362,                 1.7991,               0.008515,               0.008515,               0.008515
                     18,                 1.4964,                 1.6528,                  1.858,                0.66798,                0.57816,                0.63333,                0.37823,                 1.3544,                 1.3001,                 1.7958,               0.008416,               0.008416,               0.008416
                     19,                 1.4924,                 1.6438,                 1.8487,                 0.6508,                0.57582,                0.63415,                0.38069,                  1.326,                 1.2954,                 1.7562,               0.008317,               0.008317,               0.008317
                     20,                 1.4812,                 1.6107,                 1.8377,                0.67929,                0.58581,                0.64729,                0.38777,                 1.3328,                 1.2983,                 1.7693,               0.008218,               0.008218,               0.008218
                     21,                 1.4725,                 1.5951,                 1.8277,                0.64807,                0.60324,                0.64612,                0.38901,                 1.3207,                 1.2666,                 1.7547,               0.008119,               0.008119,               0.008119
                     22,                  1.462,                 1.5846,                 1.8127,                0.68505,                0.60455,                0.66233,                0.40172,                 1.2952,                 1.2452,                 1.7222,                0.00802,                0.00802,                0.00802
                     23,                 1.4569,                 1.5779,                 1.8163,                0.68098,                0.61069,                0.66852,                0.40751,                 1.2996,                 1.2191,                 1.7303,               0.007921,               0.007921,               0.007921
                     24,                 1.4493,                 1.5569,                  1.799,                0.71149,                0.60879,                0.68169,                0.41638,                 1.2861,                 1.1969,                 1.7098,               0.007822,               0.007822,               0.007822
                     25,                 1.4426,                 1.5438,                 1.7895,                0.68704,                0.61528,                0.67269,                0.41459,                 1.2902,                 1.2064,                 1.7111,               0.007723,               0.007723,               0.007723
                     26,                 1.4366,                 1.5376,                 1.7817,                 0.6958,                0.61818,                0.68344,                0.42212,                 1.2765,                 1.1809,                 1.7009,               0.007624,               0.007624,               0.007624
                     27,                 1.4296,                  1.513,                  1.783,                0.71179,                0.61478,                0.68306,                0.41732,                 1.2954,                 1.1763,                  1.717,               0.007525,               0.007525,               0.007525
                     28,                 1.4236,                 1.5025,                 1.7694,                0.69335,                0.62046,                0.68582,                 0.4234,                 1.2674,                  1.165,                 1.6967,               0.007426,               0.007426,               0.007426
                     29,                 1.4159,                 1.4836,                 1.7628,                0.70617,                0.62573,                 0.6944,                0.43204,                 1.2582,                 1.1422,                 1.6879,               0.007327,               0.007327,               0.007327
                     30,                 1.4096,                 1.4804,                  1.752,                0.71384,                0.63007,                0.69879,                0.43738,                 1.2588,                 1.1466,                 1.6846,               0.007228,               0.007228,               0.007228
                     31,                 1.4121,                 1.4727,                  1.751,                0.70256,                0.63912,                0.69535,                0.43666,                 1.2415,                 1.1411,                 1.6787,               0.007129,               0.007129,               0.007129
                     32,                 1.4053,                 1.4631,                 1.7435,                0.71541,                0.64202,                0.70451,                0.44262,                  1.245,                 1.1201,                 1.6656,                0.00703,                0.00703,                0.00703
                     33,                 1.3961,                 1.4649,                 1.7435,                0.70748,                0.64813,                0.70496,                0.44134,                 1.2413,                 1.1165,                 1.6625,               0.006931,               0.006931,               0.006931
                     34,                 1.3981,                 1.4583,                  1.736,                0.73158,                0.62855,                0.70771,                0.44576,                  1.237,                 1.1096,                  1.657,               0.006832,               0.006832,               0.006832
                     35,                 1.3898,                 1.4372,                  1.733,                0.73686,                0.63812,                0.71346,                0.45054,                 1.2275,                 1.0959,                 1.6439,               0.006733,               0.006733,               0.006733
                     36,                 1.3933,                 1.4362,                 1.7318,                0.72531,                0.65068,                0.71727,                0.45218,                 1.2302,                  1.092,                 1.6527,               0.006634,               0.006634,               0.006634
                     37,                 1.3728,                 1.4201,                 1.7137,                0.73362,                0.64403,                0.71509,                0.45238,                 1.2271,                 1.0885,                 1.6454,               0.006535,               0.006535,               0.006535
                     38,                 1.3776,                 1.4178,                 1.7165,                0.75083,                0.63642,                0.71923,                0.45501,                 1.2244,                 1.0795,                 1.6421,               0.006436,               0.006436,               0.006436
                     39,                 1.3784,                 1.4113,                 1.7203,                0.73713,                 0.6479,                0.71899,                0.46046,                 1.2144,                 1.0682,                 1.6402,               0.006337,               0.006337,               0.006337
                     40,                 1.3684,                  1.398,                 1.7085,                 0.7302,                 0.6505,                 0.7195,                0.45929,                 1.2129,                 1.0674,                 1.6333,               0.006238,               0.006238,               0.006238
                     41,                 1.3657,                 1.3871,                 1.7036,                0.73578,                0.65759,                0.72741,                0.46531,                 1.2087,                  1.052,                 1.6218,               0.006139,               0.006139,               0.006139
                     42,                 1.3605,                  1.378,                 1.6945,                0.76672,                0.64354,                0.73197,                0.46389,                 1.2226,                 1.0562,                 1.6292,                0.00604,                0.00604,                0.00604
                     43,                  1.354,                 1.3663,                 1.6876,                0.74868,                0.65235,                0.72966,                0.46601,                 1.2086,                 1.0453,                 1.6257,               0.005941,               0.005941,               0.005941
                     44,                 1.3575,                  1.377,                 1.6895,                0.73718,                0.65716,                0.72937,                0.46765,                 1.2123,                 1.0422,                 1.6215,               0.005842,               0.005842,               0.005842
                     45,                 1.3546,                 1.3692,                 1.6893,                0.72414,                0.67308,                0.73326,                0.47009,                 1.2057,                  1.033,                 1.6174,               0.005743,               0.005743,               0.005743
                     46,                 1.3442,                 1.3533,                 1.6834,                0.74446,                0.66059,                0.73195,                0.46944,                  1.202,                 1.0261,                 1.6166,               0.005644,               0.005644,               0.005644
                     47,                   1.34,                 1.3399,                 1.6762,                0.74846,                0.66425,                0.73635,                0.46984,                 1.2063,                  1.032,                 1.6154,               0.005545,               0.005545,               0.005545
                     48,                 1.3384,                 1.3379,                 1.6746,                0.75634,                0.65529,                0.73624,                0.47336,                  1.198,                 1.0257,                  1.607,               0.005446,               0.005446,               0.005446
                     49,                 1.3469,                 1.3485,                 1.6775,                0.75747,                0.66758,                0.74037,                0.47709,                 1.1945,                 1.0166,                 1.6074,               0.005347,               0.005347,               0.005347
                     50,                 1.3318,                 1.3258,                 1.6658,                0.76175,                0.66148,                0.74127,                0.47766,                 1.1916,                 1.0068,                  1.603,               0.005248,               0.005248,               0.005248
                     51,                  1.335,                 1.3277,                 1.6612,                0.75134,                0.66731,                0.74172,                0.48013,                 1.1909,                 1.0084,                 1.5993,               0.005149,               0.005149,               0.005149
                     52,                  1.331,                 1.3249,                 1.6585,                0.74582,                0.65911,                0.74043,                0.48037,                 1.1899,                 1.0062,                 1.5985,                0.00505,                0.00505,                0.00505
                     53,                 1.3281,                 1.3133,                 1.6564,                0.75825,                0.66762,                0.74438,                0.48176,                 1.1868,                0.99921,                 1.5972,               0.004951,               0.004951,               0.004951
                     54,                 1.3217,                 1.3095,                 1.6552,                0.76797,                0.66346,                0.74558,                0.48168,                 1.1857,                0.99995,                 1.5932,               0.004852,               0.004852,               0.004852
                     55,                  1.322,                 1.2981,                 1.6504,                0.75845,                0.66484,                 0.7486,                0.48448,                 1.1788,                0.99388,                 1.5889,               0.004753,               0.004753,               0.004753
                     56,                 1.3125,                 1.2978,                 1.6468,                0.76857,                0.66517,                0.74854,                 0.4843,                 1.1857,                0.98952,                  1.595,               0.004654,               0.004654,               0.004654
                     57,                 1.3113,                 1.2803,                 1.6387,                0.76141,                0.66936,                0.74957,                0.48538,                 1.1816,                0.98621,                 1.5848,               0.004555,               0.004555,               0.004555
                     58,                 1.3117,                 1.2745,                 1.6344,                0.76018,                0.67268,                0.75066,                0.48668,                 1.1797,                0.98413,                 1.5828,               0.004456,               0.004456,               0.004456
                     59,                 1.3052,                 1.2833,                 1.6323,                0.76149,                0.67363,                 0.7514,                0.48835,                 1.1769,                0.98311,                 1.5799,               0.004357,               0.004357,               0.004357
                     60,                 1.3049,                 1.2701,                  1.632,                0.75702,                0.67883,                0.75114,                0.48805,                 1.1749,                0.98031,                 1.5815,               0.004258,               0.004258,               0.004258
                     61,                 1.3035,                 1.2621,                 1.6317,                0.76484,                0.67198,                0.75161,                0.48848,                 1.1739,                0.97835,                  1.582,               0.004159,               0.004159,               0.004159
                     62,                 1.3014,                 1.2637,                 1.6268,                0.76027,                0.67802,                0.75212,                0.48986,                 1.1764,                0.97693,                 1.5802,                0.00406,                0.00406,                0.00406
                     63,                 1.2945,                 1.2707,                 1.6282,                0.74504,                0.68724,                0.75321,                0.49034,                 1.1751,                0.97545,                 1.5756,               0.003961,               0.003961,               0.003961
                     64,                 1.2947,                 1.2569,                 1.6198,                0.76855,                 0.6655,                0.75161,                0.48744,                 1.1739,                0.97393,                 1.5756,               0.003862,               0.003862,               0.003862
                     65,                  1.288,                 1.2488,                 1.6151,                0.77033,                0.67721,                0.75593,                0.49074,                 1.1732,                0.96741,                 1.5753,               0.003763,               0.003763,               0.003763
                     66,                 1.2913,                 1.2497,                 1.6148,                0.76462,                0.68253,                0.75599,                0.49002,                 1.1775,                0.96664,                 1.5793,               0.003664,               0.003664,               0.003664
                     67,                 1.2792,                 1.2417,                 1.6102,                0.76161,                0.68028,                0.75538,                0.49075,                 1.1779,                0.96566,                 1.5775,               0.003565,               0.003565,               0.003565
                     68,                 1.2804,                  1.235,                  1.609,                 0.7748,                0.66714,                0.75529,                0.49034,                 1.1744,                0.96409,                 1.5742,               0.003466,               0.003466,               0.003466
                     69,                 1.2686,                 1.2252,                 1.5974,                0.76886,                0.67144,                0.75511,                0.49103,                 1.1743,                0.96147,                  1.574,               0.003367,               0.003367,               0.003367
                     70,                 1.2738,                 1.2211,                  1.603,                0.76563,                0.67704,                0.75733,                0.49157,                 1.1733,                0.96007,                  1.573,               0.003268,               0.003268,               0.003268
                     71,                  1.271,                 1.2151,                 1.5982,                0.77988,                0.66755,                0.75818,                0.49377,                 1.1712,                0.95842,                 1.5701,               0.003169,               0.003169,               0.003169
                     72,                 1.2734,                 1.2128,                  1.601,                0.77551,                0.67181,                0.75832,                0.49405,                 1.1688,                0.95955,                 1.5695,                0.00307,                0.00307,                0.00307
                     73,                 1.2652,                 1.2129,                 1.5944,                0.77132,                0.67129,                0.75779,                0.49451,                 1.1702,                0.95903,                  1.569,               0.002971,               0.002971,               0.002971
                     74,                 1.2684,                 1.2074,                 1.5968,                0.76879,                0.67646,                0.75731,                0.49369,                 1.1678,                0.95913,                 1.5685,               0.002872,               0.002872,               0.002872
                     75,                   1.26,                 1.2003,                 1.5892,                 0.7711,                0.67676,                0.75752,                 0.4947,                 1.1679,                0.95714,                 1.5675,               0.002773,               0.002773,               0.002773
                     76,                 1.2591,                 1.1959,                 1.5906,                 0.7635,                0.68032,                0.75874,                0.49486,                 1.1692,                0.95653,                 1.5678,               0.002674,               0.002674,               0.002674
                     77,                 1.2612,                 1.1953,                  1.589,                0.76946,                0.67618,                0.76029,                0.49515,                   1.17,                0.95468,                 1.5678,               0.002575,               0.002575,               0.002575
                     78,                 1.2567,                 1.1978,                 1.5863,                0.76337,                0.68849,                 0.7627,                0.49655,                 1.1691,                0.95307,                 1.5659,               0.002476,               0.002476,               0.002476
                     79,                 1.2505,                 1.1814,                 1.5789,                0.76748,                0.68682,                 0.7631,                0.49633,                 1.1681,                0.95227,                 1.5653,               0.002377,               0.002377,               0.002377
                     80,                 1.2423,                  1.185,                 1.5787,                0.76908,                0.68477,                0.76344,                0.49678,                 1.1679,                0.94964,                 1.5655,               0.002278,               0.002278,               0.002278
                     81,                 1.2506,                 1.1762,                  1.582,                0.76953,                0.68386,                0.76357,                0.49726,                 1.1676,                0.94802,                  1.566,               0.002179,               0.002179,               0.002179
                     82,                 1.2432,                 1.1667,                 1.5697,                0.77084,                 0.6834,                0.76328,                0.49742,                 1.1685,                0.94625,                 1.5654,                0.00208,                0.00208,                0.00208
                     83,                  1.251,                 1.1675,                  1.577,                0.77836,                0.67857,                0.76395,                0.49784,                  1.168,                0.94543,                 1.5645,               0.001981,               0.001981,               0.001981
                     84,                 1.2377,                 1.1592,                  1.566,                0.78319,                 0.6798,                0.76466,                0.49812,                 1.1688,                0.94251,                 1.5649,               0.001882,               0.001882,               0.001882
                     85,                 1.2344,                 1.1557,                 1.5624,                0.78688,                 0.6804,                0.76508,                0.49831,                 1.1684,                0.94188,                 1.5639,               0.001783,               0.001783,               0.001783
                     86,                 1.2356,                 1.1483,                 1.5619,                0.78714,                 0.6793,                0.76454,                0.49897,                 1.1681,                0.94151,                 1.5628,               0.001684,               0.001684,               0.001684
                     87,                 1.2236,                 1.1344,                 1.5548,                0.78056,                0.67964,                0.76329,                0.49857,                 1.1677,                0.94128,                 1.5625,               0.001585,               0.001585,               0.001585
                     88,                 1.2243,                 1.1317,                 1.5522,                0.78596,                0.67559,                0.76382,                0.49847,                 1.1681,                0.94122,                 1.5621,               0.001486,               0.001486,               0.001486
                     89,                 1.2299,                 1.1357,                 1.5551,                0.78209,                0.67671,                0.76377,                0.49866,                 1.1686,                0.94085,                  1.562,               0.001387,               0.001387,               0.001387
                     90,                 1.2225,                 1.1331,                 1.5551,                0.78673,                0.67422,                0.76399,                0.49887,                 1.1691,                0.94055,                 1.5619,               0.001288,               0.001288,               0.001288
                     91,                 1.1679,                0.95988,                 1.5296,                0.78754,                0.67225,                 0.7635,                0.49848,                 1.1694,                0.93943,                 1.5613,               0.001189,               0.001189,               0.001189
                     92,                  1.157,                0.94094,                  1.524,                0.78243,                0.67465,                0.76384,                0.49906,                 1.1696,                0.93814,                 1.5615,                0.00109,                0.00109,                0.00109
                     93,                 1.1563,                0.93275,                 1.5193,                0.78162,                0.67397,                0.76424,                0.49968,                 1.1701,                0.93675,                 1.5618,               0.000991,               0.000991,               0.000991
                     94,                  1.148,                0.92206,                  1.514,                0.77235,                0.68124,                0.76464,                0.49971,                 1.1704,                0.93547,                 1.5617,               0.000892,               0.000892,               0.000892
                     95,                 1.1387,                0.91234,                 1.5016,                0.76527,                 0.6868,                0.76476,                0.49928,                 1.1702,                 0.9348,                 1.5616,               0.000793,               0.000793,               0.000793
                     96,                 1.1399,                0.90873,                 1.5052,                0.76609,                 0.6867,                 0.7656,                0.49963,                 1.1704,                0.93395,                  1.562,               0.000694,               0.000694,               0.000694
                     97,                 1.1281,                0.89613,                 1.4987,                0.76287,                0.69038,                0.76541,                0.49964,                 1.1709,                0.93407,                 1.5627,               0.000595,               0.000595,               0.000595
                     98,                 1.1252,                0.89157,                  1.497,                0.76376,                0.69057,                0.76505,                0.49945,                 1.1712,                0.93385,                 1.5633,               0.000496,               0.000496,               0.000496
                     99,                 1.1252,                 0.8872,                 1.4984,                0.76264,                  0.692,                0.76473,                0.49945,                 1.1715,                0.93367,                 1.5637,               0.000397,               0.000397,               0.000397
                    100,                 1.1202,                0.88137,                 1.4899,                0.76406,                0.69079,                0.76454,                0.49914,                 1.1715,                0.93309,                  1.564,               0.000298,               0.000298,               0.000298
