                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.401,                 3.7534,                 3.7731,                0.37174,                0.06679,                0.02246,                0.00675,                  2.896,                 3.7961,                 3.4099,               0.070051,              0.0033277,              0.0033277
                      2,                 2.5732,                 3.0622,                 2.9588,                0.15266,                0.22412,                0.10443,                0.03645,                 2.2226,                 3.2395,                  2.771,               0.039985,              0.0065951,              0.0065951
                      3,                 2.1091,                 2.6493,                 2.5139,                0.24649,                0.31487,                0.20863,                0.08459,                 1.9147,                 2.6092,                  2.423,               0.009853,              0.0097965,              0.0097965
                      4,                 1.9279,                 2.4493,                 2.3025,                0.28775,                0.35442,                0.26163,                0.11534,                 1.7625,                 2.6332,                 2.2369,               0.009703,               0.009703,               0.009703
                      5,                 1.8157,                 2.3085,                 2.1833,                0.40772,                0.38158,                0.35033,                0.16371,                 1.7067,                 2.0807,                 2.1488,               0.009703,               0.009703,               0.009703
                      6,                 1.7576,                  2.196,                 2.1183,                0.43641,                0.41631,                0.38532,                 0.1855,                 1.6722,                 1.9289,                 2.1117,               0.009604,               0.009604,               0.009604
                      7,                 1.7181,                 2.1097,                  2.068,                0.47558,                0.44174,                0.41964,                0.20819,                 1.5968,                 1.8643,                 2.0379,               0.009505,               0.009505,               0.009505
                      8,                  1.685,                 2.0511,                 2.0237,                0.52113,                0.47755,                0.47045,                0.24192,                 1.5411,                 1.7886,                  1.936,               0.009406,               0.009406,               0.009406
                      9,                 1.6554,                 1.9897,                 1.9834,                0.54233,                 0.4578,                0.48714,                0.26372,                 1.5284,                 1.7698,                 1.9058,               0.009307,               0.009307,               0.009307
                     10,                 1.6385,                 1.9479,                 1.9595,                0.54905,                0.49431,                0.50149,                0.27038,                 1.5003,                 1.6806,                 1.8867,               0.009208,               0.009208,               0.009208
                     11,                 1.6106,                 1.9057,                 1.9373,                0.56168,                0.52308,                0.53505,                0.29214,                 1.5052,                 1.5962,                  1.889,               0.009109,               0.009109,               0.009109
                     12,                 1.6005,                 1.8784,                 1.9214,                0.59178,                0.49967,                0.54411,                0.30022,                 1.4607,                 1.5723,                 1.8329,                0.00901,                0.00901,                0.00901
                     13,                 1.5873,                 1.8348,                 1.9004,                0.61377,                0.52155,                0.56418,                0.31535,                 1.4621,                 1.5232,                  1.828,               0.008911,               0.008911,               0.008911
                     14,                 1.5691,                 1.8115,                 1.8858,                0.60004,                0.53211,                0.56876,                0.31873,                 1.4321,                 1.5014,                 1.8039,               0.008812,               0.008812,               0.008812
                     15,                 1.5602,                  1.784,                 1.8728,                0.61849,                 0.5512,                0.59027,                0.33636,                  1.421,                 1.4745,                 1.7828,               0.008713,               0.008713,               0.008713
                     16,                 1.5458,                 1.7496,                 1.8543,                0.62598,                0.56291,                0.60925,                0.34806,                 1.4107,                 1.4009,                 1.7644,               0.008614,               0.008614,               0.008614
                     17,                 1.5354,                 1.7315,                 1.8463,                0.64295,                0.56795,                0.61396,                0.35305,                 1.3875,                 1.3876,                 1.7387,               0.008515,               0.008515,               0.008515
                     18,                 1.5259,                  1.709,                 1.8317,                0.62521,                0.58283,                 0.6164,                0.35569,                 1.4001,                 1.3849,                 1.7494,               0.008416,               0.008416,               0.008416
                     19,                 1.5181,                 1.6978,                 1.8228,                0.63481,                0.58249,                0.62736,                0.36641,                 1.3791,                 1.3548,                 1.7215,               0.008317,               0.008317,               0.008317
                     20,                 1.5092,                 1.6706,                 1.8128,                0.65542,                0.58135,                0.62639,                0.36878,                 1.3655,                 1.3694,                 1.7071,               0.008218,               0.008218,               0.008218
                     21,                 1.4986,                  1.651,                 1.8001,                0.64576,                0.57716,                0.62065,                0.36695,                 1.3714,                 1.3411,                 1.7194,               0.008119,               0.008119,               0.008119
                     22,                 1.4926,                 1.6329,                 1.7886,                0.66773,                0.58693,                0.64042,                0.38119,                 1.3412,                 1.3082,                 1.6876,                0.00802,                0.00802,                0.00802
                     23,                 1.4833,                 1.6326,                 1.7887,                0.68333,                0.59557,                0.65689,                0.39189,                 1.3461,                 1.2792,                 1.6791,               0.007921,               0.007921,               0.007921
                     24,                 1.4784,                 1.6078,                 1.7765,                0.67671,                0.60621,                0.66343,                0.39591,                 1.3444,                 1.2694,                 1.6777,               0.007822,               0.007822,               0.007822
                     25,                 1.4707,                 1.5971,                 1.7619,                0.68404,                0.61412,                0.66775,                0.40368,                  1.323,                 1.2453,                 1.6565,               0.007723,               0.007723,               0.007723
