                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3759,                 3.7349,                 3.7593,                0.39811,                 0.0632,                0.03002,                0.00879,                 2.7988,                 3.6512,                 3.3114,               0.070051,              0.0033277,              0.0033277
                      2,                 2.4983,                 2.9809,                 2.9322,                0.21818,                0.20153,                0.12497,                 0.0476,                 2.2188,                 2.8243,                 2.7774,               0.039985,              0.0065951,              0.0065951
                      3,                   2.07,                 2.5966,                 2.5308,                0.29751,                0.33236,                0.25296,                0.10784,                 1.8704,                 2.4151,                 2.4032,               0.009853,              0.0097965,              0.0097965
                      4,                 1.9066,                 2.3949,                 2.3333,                0.38161,                0.36856,                0.32293,                0.14652,                 1.7673,                 2.2166,                 2.2626,               0.009703,               0.009703,               0.009703
                      5,                 1.7993,                 2.2563,                 2.2094,                0.45144,                0.40216,                0.38197,                0.18298,                 1.7038,                 1.9977,                 2.2068,               0.009703,               0.009703,               0.009703
                      6,                 1.7321,                 2.1469,                 2.1342,                 0.4653,                 0.4554,                0.41631,                  0.209,                 1.6429,                  1.857,                 2.1281,               0.009604,               0.009604,               0.009604
                      7,                  1.693,                 2.0623,                 2.0816,                0.48929,                0.46496,                0.44886,                0.23227,                 1.5854,                 1.7889,                 2.0514,               0.009505,               0.009505,               0.009505
                      8,                 1.6624,                  1.999,                 2.0473,                0.53682,                0.49483,                0.49099,                0.25834,                 1.5414,                 1.6994,                 1.9888,               0.009406,               0.009406,               0.009406
                      9,                 1.6364,                 1.9321,                 2.0067,                0.55639,                0.50253,                0.51891,                0.28302,                 1.5227,                 1.6361,                 1.9613,               0.009307,               0.009307,               0.009307
                     10,                 1.6111,                  1.892,                 1.9759,                0.57984,                0.53755,                0.55318,                0.30633,                 1.4797,                 1.5599,                 1.9149,               0.009208,               0.009208,               0.009208
                     11,                  1.585,                 1.8427,                 1.9512,                0.60179,                 0.5413,                0.56965,                0.32261,                 1.4651,                  1.508,                  1.904,               0.009109,               0.009109,               0.009109
                     12,                 1.5739,                 1.8181,                 1.9366,                0.61425,                0.54681,                0.58928,                0.33634,                 1.4408,                 1.4571,                 1.8663,                0.00901,                0.00901,                0.00901
                     13,                  1.559,                 1.7759,                 1.9228,                0.62962,                0.53673,                0.58785,                0.33652,                 1.4533,                 1.4601,                 1.8802,               0.008911,               0.008911,               0.008911
                     14,                  1.543,                  1.748,                 1.9044,                0.60699,                0.58392,                0.60415,                0.35297,                 1.4172,                 1.4001,                 1.8402,               0.008812,               0.008812,               0.008812
