                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3755,                 3.7208,                  3.763,                0.22593,                0.07253,                0.03137,                0.00952,                 2.8374,                 3.4955,                 3.3568,               0.070051,              0.0033277,              0.0033277
                      2,                 2.5358,                 3.0096,                  2.934,                 0.1969,                0.21363,                  0.126,                 0.0457,                 2.1783,                 2.9653,                 2.7207,               0.039985,              0.0065951,              0.0065951
                      3,                 2.0907,                 2.6241,                 2.5032,                0.24143,                0.25264,                0.17119,                 0.0678,                 2.0259,                 2.5789,                 2.5225,               0.009853,              0.0097965,              0.0097965
                      4,                  1.922,                 2.4377,                 2.2988,                0.33384,                0.35143,                0.29089,                0.12844,                  1.745,                 2.2562,                 2.2101,               0.009703,               0.009703,               0.009703
                      5,                 1.8108,                  2.297,                 2.1759,                0.42268,                 0.3675,                 0.3442,                0.16539,                 1.7034,                 2.0768,                 2.1698,               0.009703,               0.009703,               0.009703
                      6,                 1.7534,                 2.1929,                 2.1214,                0.43931,                0.39853,                0.37818,                0.18035,                  1.668,                 1.9704,                 2.1125,               0.009604,               0.009604,               0.009604
                      7,                 1.7111,                 2.1048,                 2.0625,                0.48657,                0.41822,                0.41396,                0.20782,                 1.6327,                 1.9175,                 2.0636,               0.009505,               0.009505,               0.009505
                      8,                 1.6847,                 2.0467,                 2.0245,                0.50464,                0.45267,                0.44835,                0.23139,                 1.5326,                 1.9137,                 1.9387,               0.009406,               0.009406,               0.009406
                      9,                 1.6558,                 1.9865,                 1.9869,                0.52555,                0.48215,                0.49344,                0.26801,                 1.5162,                 1.7132,                 1.9099,               0.009307,               0.009307,               0.009307
                     10,                 1.6344,                 1.9442,                 1.9617,                0.56862,                0.49844,                0.52386,                0.27812,                 1.5173,                  1.632,                 1.9049,               0.009208,               0.009208,               0.009208
                     11,                 1.6103,                 1.8961,                 1.9411,                0.57552,                0.51156,                0.53457,                 0.2912,                 1.4898,                 1.6611,                 1.8714,               0.009109,               0.009109,               0.009109
                     12,                 1.5976,                  1.874,                 1.9249,                0.58963,                0.49924,                0.54306,                0.29624,                 1.4789,                 1.5799,                 1.8686,                0.00901,                0.00901,                0.00901
                     13,                 1.5871,                 1.8348,                 1.9058,                0.56866,                0.50557,                0.51966,                0.28928,                 1.4848,                 1.5935,                 1.8563,               0.008911,               0.008911,               0.008911
                     14,                 1.5684,                 1.8084,                  1.889,                0.59594,                0.53422,                0.56602,                0.31854,                 1.4248,                   1.51,                 1.7979,               0.008812,               0.008812,               0.008812
                     15,                 1.5585,                 1.7824,                 1.8737,                0.63478,                 0.5497,                 0.5907,                0.33124,                 1.4198,                 1.4704,                  1.778,               0.008713,               0.008713,               0.008713
                     16,                 1.5411,                 1.7443,                 1.8527,                0.62018,                0.56033,                 0.6021,                 0.3466,                 1.4024,                 1.4293,                 1.7685,               0.008614,               0.008614,               0.008614
                     17,                 1.5321,                 1.7374,                 1.8444,                0.64389,                0.56663,                0.60763,                0.35289,                 1.3916,                 1.3842,                 1.7584,               0.008515,               0.008515,               0.008515
                     18,                 1.5229,                 1.7066,                 1.8349,                0.64246,                0.55989,                0.61553,                0.36034,                 1.3973,                 1.3854,                 1.7445,               0.008416,               0.008416,               0.008416
                     19,                 1.5164,                 1.6989,                 1.8284,                0.64121,                0.56721,                0.61541,                0.36226,                 1.3737,                 1.3731,                 1.7242,               0.008317,               0.008317,               0.008317
                     20,                  1.508,                 1.6678,                 1.8151,                0.66807,                0.56914,                0.62811,                0.37074,                 1.3674,                 1.3544,                  1.721,               0.008218,               0.008218,               0.008218
                     21,                 1.4998,                 1.6488,                 1.8039,                0.65402,                0.58159,                0.63277,                0.37279,                 1.3666,                   1.33,                 1.7182,               0.008119,               0.008119,               0.008119
                     22,                 1.4882,                 1.6389,                 1.7897,                0.67097,                0.58998,                0.64646,                0.38579,                 1.3405,                 1.2933,                 1.7005,                0.00802,                0.00802,                0.00802
                     23,                 1.4829,                 1.6298,                  1.798,                0.69133,                 0.5794,                0.65642,                0.38836,                 1.3348,                 1.2727,                 1.6795,               0.007921,               0.007921,               0.007921
                     24,                 1.4771,                  1.606,                 1.7826,                0.66637,                 0.6158,                0.65928,                0.39514,                 1.3319,                 1.2703,                 1.6796,               0.007822,               0.007822,               0.007822
                     25,                 1.4732,                 1.5973,                 1.7698,                0.68496,                0.60821,                0.66811,                0.40389,                  1.317,                 1.2559,                 1.6678,               0.007723,               0.007723,               0.007723
                     26,                  1.463,                 1.5879,                  1.761,                0.69255,                0.60679,                0.67039,                0.40411,                 1.3188,                 1.2451,                 1.6595,               0.007624,               0.007624,               0.007624
                     27,                 1.4545,                 1.5658,                 1.7596,                0.68076,                0.61342,                0.67282,                0.40846,                 1.3261,                 1.2331,                 1.6597,               0.007525,               0.007525,               0.007525
                     28,                 1.4482,                 1.5551,                 1.7437,                0.68633,                0.60371,                0.66891,                0.40709,                 1.3062,                 1.2294,                 1.6476,               0.007426,               0.007426,               0.007426
                     29,                  1.438,                 1.5347,                 1.7376,                0.68252,                 0.6155,                0.67551,                0.41502,                 1.2938,                 1.2052,                   1.64,               0.007327,               0.007327,               0.007327
                     30,                  1.435,                 1.5283,                 1.7287,                0.69662,                0.60724,                0.67307,                 0.4138,                 1.3049,                 1.2138,                 1.6428,               0.007228,               0.007228,               0.007228
                     31,                 1.4348,                 1.5203,                 1.7312,                0.70715,                0.61795,                0.68746,                0.42368,                 1.2869,                 1.1889,                 1.6273,               0.007129,               0.007129,               0.007129
                     32,                 1.4344,                 1.5159,                 1.7327,                0.71348,                0.60998,                0.68678,                0.42319,                 1.2826,                 1.1797,                 1.6143,                0.00703,                0.00703,                0.00703
                     33,                 1.4199,                 1.5105,                 1.7235,                0.70365,                 0.6233,                0.68975,                0.42366,                 1.2899,                 1.1771,                  1.624,               0.006931,               0.006931,               0.006931
                     34,                 1.4252,                 1.5062,                 1.7159,                0.70072,                0.62622,                0.68564,                0.42507,                 1.2791,                  1.175,                 1.6117,               0.006832,               0.006832,               0.006832
                     35,                 1.4151,                 1.4832,                  1.709,                0.70929,                0.62607,                0.69545,                0.43135,                 1.2682,                 1.1541,                 1.5981,               0.006733,               0.006733,               0.006733
                     36,                 1.4214,                 1.4799,                 1.7098,                0.72931,                0.62001,                0.70165,                0.43584,                 1.2677,                 1.1435,                 1.6108,               0.006634,               0.006634,               0.006634
                     37,                 1.3982,                 1.4639,                 1.6957,                0.69749,                0.63914,                0.69615,                 0.4359,                 1.2567,                 1.1396,                 1.5972,               0.006535,               0.006535,               0.006535
                     38,                 1.4043,                  1.462,                 1.6964,                0.72317,                0.63344,                0.70456,                0.44218,                 1.2576,                 1.1298,                 1.5932,               0.006436,               0.006436,               0.006436
                     39,                 1.4006,                 1.4614,                 1.6933,                0.71699,                0.63614,                0.70467,                0.44351,                 1.2571,                 1.1265,                 1.5926,               0.006337,               0.006337,               0.006337
                     40,                 1.3941,                 1.4482,                 1.6849,                0.72047,                0.63906,                0.70689,                0.44387,                 1.2428,                 1.1175,                 1.5767,               0.006238,               0.006238,               0.006238
                     41,                 1.3943,                 1.4314,                 1.6791,                0.70467,                0.65331,                0.71196,                0.44777,                 1.2402,                  1.113,                 1.5696,               0.006139,               0.006139,               0.006139
                     42,                  1.387,                 1.4226,                 1.6703,                0.74554,                0.63444,                0.71542,                0.44832,                  1.249,                 1.1046,                 1.5702,                0.00604,                0.00604,                0.00604
                     43,                 1.3812,                 1.4179,                 1.6663,                0.73036,                 0.6387,                0.71529,                0.44865,                 1.2475,                 1.1006,                 1.5717,               0.005941,               0.005941,               0.005941
                     44,                 1.3858,                 1.4192,                 1.6678,                 0.7241,                0.65441,                0.71628,                0.45462,                 1.2378,                 1.0924,                 1.5633,               0.005842,               0.005842,               0.005842
                     45,                 1.3812,                 1.4132,                 1.6687,                0.74046,                0.64225,                0.72201,                0.45709,                 1.2355,                 1.0821,                 1.5601,               0.005743,               0.005743,               0.005743
                     46,                 1.3688,                 1.3976,                  1.657,                0.73253,                0.65024,                 0.7212,                0.45781,                 1.2312,                 1.0771,                 1.5535,               0.005644,               0.005644,               0.005644
                     47,                  1.364,                 1.3867,                 1.6521,                 0.7201,                0.65875,                0.72232,                0.45922,                 1.2313,                 1.0721,                 1.5524,               0.005545,               0.005545,               0.005545
                     48,                 1.3636,                 1.3791,                 1.6482,                0.72684,                0.65742,                0.72403,                0.45969,                 1.2232,                  1.068,                 1.5496,               0.005446,               0.005446,               0.005446
                     49,                 1.3739,                 1.3917,                 1.6567,                0.74146,                0.64669,                0.72501,                0.46409,                 1.2175,                 1.0648,                 1.5455,               0.005347,               0.005347,               0.005347
                     50,                 1.3632,                 1.3662,                 1.6463,                0.73552,                  0.651,                0.72345,                0.46238,                 1.2219,                  1.063,                 1.5439,               0.005248,               0.005248,               0.005248
                     51,                 1.3588,                 1.3666,                 1.6387,                0.72214,                0.66748,                0.72735,                 0.4652,                 1.2174,                 1.0526,                 1.5363,               0.005149,               0.005149,               0.005149
                     52,                 1.3545,                 1.3653,                 1.6337,                0.73648,                0.66083,                0.72782,                0.46687,                 1.2172,                 1.0532,                 1.5388,                0.00505,                0.00505,                0.00505
                     53,                  1.355,                 1.3577,                 1.6343,                 0.7351,                0.66235,                0.72863,                0.46905,                 1.2075,                 1.0478,                 1.5291,               0.004951,               0.004951,               0.004951
                     54,                 1.3462,                 1.3451,                 1.6293,                0.73593,                0.65996,                0.73269,                0.46878,                 1.2153,                 1.0389,                 1.5343,               0.004852,               0.004852,               0.004852
                     55,                 1.3485,                 1.3413,                 1.6299,                  0.736,                0.66337,                0.73172,                 0.4701,                 1.2111,                 1.0403,                 1.5321,               0.004753,               0.004753,               0.004753
                     56,                 1.3418,                 1.3382,                 1.6241,                0.74012,                0.66588,                0.73326,                0.47081,                 1.2072,                 1.0355,                 1.5252,               0.004654,               0.004654,               0.004654
                     57,                 1.3386,                 1.3285,                 1.6214,                0.74389,                0.66235,                0.73346,                0.47252,                 1.2052,                 1.0346,                  1.526,               0.004555,               0.004555,               0.004555
                     58,                 1.3358,                 1.3151,                  1.611,                0.74518,                0.66202,                0.73422,                0.47211,                 1.2069,                  1.031,                 1.5243,               0.004456,               0.004456,               0.004456
                     59,                  1.334,                 1.3247,                 1.6142,                0.73268,                0.67325,                0.73516,                0.47371,                 1.2034,                 1.0276,                 1.5217,               0.004357,               0.004357,               0.004357
                     60,                 1.3293,                 1.3115,                  1.609,                0.74152,                0.66837,                0.73625,                0.47536,                 1.2025,                 1.0262,                 1.5194,               0.004258,               0.004258,               0.004258
                     61,                 1.3253,                 1.3002,                 1.6052,                0.73267,                0.67516,                0.73676,                0.47552,                  1.197,                 1.0203,                  1.515,               0.004159,               0.004159,               0.004159
                     62,                 1.3263,                 1.3109,                 1.6039,                0.74616,                 0.6679,                0.73502,                0.47447,                 1.1999,                 1.0196,                 1.5138,                0.00406,                0.00406,                0.00406
                     63,                 1.3169,                 1.3077,                 1.6039,                0.74861,                0.66579,                0.73618,                0.47572,                 1.1998,                 1.0198,                 1.5138,               0.003961,               0.003961,               0.003961
                     64,                 1.3241,                  1.298,                 1.6023,                0.73686,                0.67357,                0.73666,                0.47676,                 1.1995,                 1.0127,                 1.5128,               0.003862,               0.003862,               0.003862
                     65,                 1.3128,                 1.2908,                  1.597,                0.74978,                0.66342,                0.73776,                0.47686,                 1.1952,                 1.0121,                 1.5102,               0.003763,               0.003763,               0.003763
                     66,                 1.3208,                 1.2897,                 1.5933,                0.74103,                0.67214,                 0.7388,                0.47547,                 1.1988,                 1.0088,                 1.5104,               0.003664,               0.003664,               0.003664
                     67,                 1.3064,                 1.2848,                 1.5857,                0.73797,                0.68197,                0.74113,                0.47802,                 1.1994,                 1.0068,                 1.5114,               0.003565,               0.003565,               0.003565
                     68,                 1.3074,                 1.2752,                 1.5864,                0.73782,                0.68033,                0.74028,                0.47911,                 1.1992,                 1.0036,                  1.511,               0.003466,               0.003466,               0.003466
                     69,                 1.2978,                 1.2615,                 1.5764,                0.75066,                0.67043,                0.73912,                0.47874,                 1.1976,                 1.0036,                   1.51,               0.003367,               0.003367,               0.003367
                     70,                 1.3025,                 1.2566,                   1.58,                0.74591,                0.67249,                0.73994,                0.47946,                 1.1973,                 1.0021,                  1.507,               0.003268,               0.003268,               0.003268
                     71,                 1.3001,                 1.2537,                 1.5752,                0.74963,                0.67254,                0.74199,                0.48004,                 1.1951,                 1.0003,                 1.5035,               0.003169,               0.003169,               0.003169
                     72,                 1.3002,                 1.2585,                 1.5793,                 0.7439,                0.67725,                0.74083,                0.48049,                 1.1924,                0.99986,                 1.5029,                0.00307,                0.00307,                0.00307
                     73,                 1.2881,                  1.252,                 1.5698,                0.75045,                0.67147,                0.74089,                 0.4799,                 1.1941,                 0.9985,                 1.5029,               0.002971,               0.002971,               0.002971
                     74,                 1.2923,                 1.2432,                  1.568,                0.74193,                0.67593,                0.74164,                0.47955,                 1.1944,                 0.9958,                 1.5024,               0.002872,               0.002872,               0.002872
                     75,                 1.2852,                 1.2414,                 1.5651,                0.74935,                0.67083,                0.74209,                0.48086,                 1.1929,                0.99223,                 1.5025,               0.002773,               0.002773,               0.002773
                     76,                 1.2882,                 1.2349,                 1.5673,                0.74592,                0.67497,                0.74137,                 0.4808,                 1.1914,                0.99069,                 1.5011,               0.002674,               0.002674,               0.002674
                     77,                 1.2883,                 1.2323,                 1.5663,                0.74893,                0.67348,                0.74207,                0.48121,                 1.1893,                0.98915,                 1.4991,               0.002575,               0.002575,               0.002575
                     78,                 1.2836,                 1.2303,                 1.5639,                0.75186,                0.67243,                0.74211,                0.48218,                 1.1883,                0.98763,                 1.4993,               0.002476,               0.002476,               0.002476
                     79,                 1.2798,                 1.2223,                 1.5557,                0.74968,                0.67349,                0.74126,                0.48192,                  1.188,                0.98897,                 1.4978,               0.002377,               0.002377,               0.002377
                     80,                 1.2693,                  1.219,                 1.5505,                0.74813,                0.67523,                0.74267,                0.48277,                  1.188,                0.98808,                 1.4968,               0.002278,               0.002278,               0.002278
                     81,                 1.2815,                 1.2178,                 1.5563,                0.74215,                0.67878,                0.74286,                0.48235,                  1.188,                0.98809,                 1.4963,               0.002179,               0.002179,               0.002179
                     82,                 1.2711,                 1.2009,                 1.5464,                0.74364,                0.68135,                 0.7446,                0.48291,                 1.1885,                0.98621,                 1.4962,                0.00208,                0.00208,                0.00208
                     83,                 1.2775,                 1.2063,                 1.5549,                0.74976,                  0.681,                0.74482,                0.48297,                 1.1888,                0.98476,                 1.4957,               0.001981,               0.001981,               0.001981
                     84,                 1.2628,                 1.1947,                 1.5427,                0.74909,                 0.6801,                0.74535,                0.48326,                 1.1903,                0.98391,                 1.4962,               0.001882,               0.001882,               0.001882
